1780372419.8903637,"{0: {'lag_delta': 0.0, 'pps_delta': 0.0}}"
1780372424.8977213,"{0: {'lag_delta': 0.0, 'pps_delta': 13.636363636363626}}"
1780372429.9119084,"{0: {'lag_delta': 0.0, 'pps_delta': 26.03305785123966}}"
1780372434.9260976,"{0: {'lag_delta': 0.0, 'pps_delta': 23.66641622839971}}"
1780372439.9438136,"{0: {'lag_delta': 0.0, 'pps_delta': 21.514923843999725}}"
1780372444.95289,"{0: {'lag_delta': 0.0, 'pps_delta': 19.559021676363386}}"
1780372449.9638746,"{0: {'lag_delta': 0.0, 'pps_delta': 17.780928796694}}"
1780374650.9451473,"{0: {'lag_delta': 0.0, 'pps_delta': 0.0}}"
1780374655.9556963,"{0: {'lag_delta': 0.0, 'pps_delta': -30.0}}"
1780374660.9664888,"{0: {'lag_delta': 0.0, 'pps_delta': -57.272727272727366}}"
1780374665.9797413,"{0: {'lag_delta': 0.0, 'pps_delta': -52.06611570247935}}"
1780374670.9891798,"{0: {'lag_delta': 0.0, 'pps_delta': -47.332832456799224}}"
1780374676.0022337,"{0: {'lag_delta': 0.0, 'pps_delta': -43.02984768799945}}"
1780374681.0130837,"{0: {'lag_delta': 0.0, 'pps_delta': -39.118043352726886}}"
1780374686.0252244,"{0: {'lag_delta': 0.0, 'pps_delta': -35.56185759338791}}"
1780374691.038123,"{0: {'lag_delta': 0.0, 'pps_delta': -32.32896144853453}}"
1780374696.0491972,"{0: {'lag_delta': 0.0, 'pps_delta': -29.38996495321328}}"
1780374701.0591598,"{0: {'lag_delta': 0.0, 'pps_delta': -26.718149957466494}}"
1780374706.0705912,"{0: {'lag_delta': 0.0, 'pps_delta': -24.28922723406049}}"
1780374711.0828104,"{0: {'lag_delta': 0.0, 'pps_delta': -22.081115667327936}}"
1780374716.095008,"{0: {'lag_delta': 0.0, 'pps_delta': -20.07374151575243}}"
1780374721.1065812,"{0: {'lag_delta': 0.0, 'pps_delta': -18.248855923411156}}"
1780374726.1155384,"{0: {'lag_delta': 0.0, 'pps_delta': -16.589869021282993}}"
